source_key,title,publisher,url,license,category,priority,collection_mode,api_key_env,usage_scope,status,notes
nongsaro_indoor_catalog,농사로 실내식물 정보,농촌진흥청 농사로,https://www.nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00376&pageUnit=8,Korean public site; verify page-specific terms before redistribution,indoor_care,1,web,NONGSARO_API_KEY,rag_and_catalog,in_progress,"실내식물 물주기, 광도, 온도, 습도, 관리난이도, 계절별 물주기. feature/data1의 garden 수집 지침 반영"
nongsaro_crop_tech,농사로 작목정보,농촌진흥청 농사로,https://www.nongsaro.go.kr/portal/farmTechMain.ps?menuId=PS65291,Korean public site; verify page-specific terms before redistribution,crop_care,1,web_or_api,NONGSARO_API_KEY,rag,in_progress,"토마토, 고추, 상추, 오이, 딸기 우선. feature/data1의 5대 작물 수집 지침 반영"
nongsaro_crop_ebook,농사로 작목별 농업기술정보 cropEbook,농촌진흥청 농사로,http://api.nongsaro.go.kr/service/cropEbook,OpenAPI terms; verify operation-specific license,crop_care,1,api,NONGSARO_API_KEY,rag_and_catalog,planned,"mainCategoryList, subCategoryList, ebookList, cropIndexList, videoList, varietyList 기반 작물 코드/전자책/목차/품종/동영상 수집 후보"
ncpms_openapi_guide,NCPMS OpenAPI 안내,농촌진흥청 국가농작물병해충관리시스템,https://ncpms.rda.go.kr/npms/OpenApiInfo.np,Korean public site; verify API approval and terms,pest_reference,2,web,NCPMS_API_KEY,api_contract_reference,done,"병/해충/상담 검색 및 상세 API 조사 완료"
ncpms_pest_reference,NCPMS 병해충 도감/검색 OpenAPI,농촌진흥청 국가농작물병해충관리시스템,https://ncpms.rda.go.kr/npms/OpenApiInfo.np,API approval required; verify terms,pest_reference,2,api_or_manual,NCPMS_API_KEY,reference_only,in_progress,"확정 진단 금지, 전문가 확인 유도. 병/해충 상세 수집은 data/scripts/collect_ncpms.py 기준"
aihub_horticulture_watering_growth,AI Hub 원예식물 화분류 물주기/수분공급 주기 생육데이터,AI Hub,https://www.aihub.or.kr/aihubdata/data/view.do?dataSetSn=71705,Dataset-specific approval and terms required,indoor_care,2,api_label_zip,AIHUB_API_KEY,rag_and_image_manifest,done,"최우선 라벨 ZIP 6종 수집 및 파싱 완료. RAG 요약 문서 18건, 이미지 manifest 152645행 생성"
aihub_seedling_growth,AI Hub In-door 육묘장 생장 데이터,AI Hub,https://www.aihub.or.kr/aihubdata/data/view.do?dataSetSn=71829,Dataset-specific approval and terms required,crop_growth_stage,2,api_label_zip,AIHUB_API_KEY,rag_and_image_manifest,ready_to_collect_labels,"상추/토마토 priority 1 라벨 ZIP부터 수집. 원본 이미지와 Other 80.62GB 파일은 MVP 제외"
psis_pesticide_safety,PSIS 농약등록정보 OpenAPI,농촌진흥청 농약안전정보시스템,https://psis.rda.go.kr/psis/cont/contentMain.ps?menuId=PS00381,Korea Open Government License: attribution + no-derivatives shown on guide page,pesticide_safety,3,api,PSIS_API_KEY,safety_reference_only,blocked_key_pending,"SVC01 목록/SVC02 상세, 직접 처방 금지"
aihub_agriculture_datasets,AI Hub 농축수산 데이터 목록,AI Hub,https://www.aihub.or.kr/aihubdata/data/list.do?currMenu=115&srchDataRealmCode=REALM004&topMenu=100,Dataset-specific approval and terms required,image_reference,4,catalog_only,AIHUB_API_KEY,image_manifest_only,in_progress,"시설/노지 질병 이미지 데이터는 2차 확장 후보. 원본 이미지 Git 금지"
weekly_farming_info,농사로 주간농사정보,농촌진흥청 농사로,https://www.nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00199,Korean public site; verify page-specific terms before redistribution,weekly_farming,4,pdf_manifest_or_web,,context_later,planned,"feature/data1에서 다운로드 manifest를 확인했으나 로컬 절대경로가 포함되어 원본 CSV는 미반영. 필요 시 별도 수집기로 재생성"
weather_disease_risk,공공데이터포털 농업기상 일별 관측데이터 V2,공공데이터포털/농업날씨365,https://www.data.go.kr/data/15078057/openapi.do,Public Data Portal terms; verify service-specific license,weather_context,5,api,PUBLIC_DATA_PORTAL_API_KEY,context_later,blocked_key_pending,"2차 확장 후보. 지역/기상 기반 위험도 보정"
rda_weather365,농업날씨365,농촌진흥청 농업기상정보 서비스,https://weather.rda.go.kr/,Korean public site; verify terms before redistribution,weather_context,5,web_or_api_later,WEATHER_API_KEY,context_later,later,"2차 확장: 지역/기상 기반 위험도 보정. 공공데이터포털 API 항목은 weather_disease_risk로 분리"
